permutation,feature_name
-0.30751376950756243,SERPINH1
-0.17221698641242197,C12orf75
0.47587641454498386,PTK7
-0.9657036647009453,PERP
0.2657552710008494,PYGL
0.01338678565366037,FADS2
-1.0321299480076618,RND3
-0.28284598470755906,AP1M2
-1.5259870217475668,ABCC3
0.90578275756862,FAM129B
0.779297688251123,MYEOV
0.34645201822768973,PAM
-2.2600103000913663,TFPI
0.3614557470923259,RAC2
-0.5876335127547553,F3
1.1663299672969076,NT5E
-0.5747731737279242,CBR1
-0.7485569655773383,SPINT1
1.2012446596548394,IGFBP2
1.6934597212967766,CRABP2
1.0690438841031953,ERRFI1
1.0747533231155944,SLC43A3
-0.24408948541812286,COTL1
0.01078588862825351,TRAV12-1
5.880490295566456,NBL1
0.8197150013037708,MCAM
0.471094524351284,EVL
-0.4020798784626567,GNG12
